continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime,cityName,cityEnglishName,city_zipCode,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
北美洲,North America,加拿大,Canada,加拿大,Canada,971001,5867,0,345,63,2020-03-29 23:19:21,,,,,,,
亚洲,Asia,韩国,Korea,韩国,Korea,951004,9583,0,5033,152,2020-03-29 23:19:21,,,,,,,
亚洲,Asia,以色列,Israel,以色列,Israel,955009,3865,0,89,12,2020-03-29 23:19:21,,,,,,,
亚洲,Asia,巴基斯坦,Pakistan,巴基斯坦,Pakistan,953006,1500,0,25,12,2020-03-29 23:19:21,,,,,,,
亚洲,Asia,印度,India,印度,India,953003,1024,0,95,27,2020-03-29 23:19:21,,,,,,,
欧洲,Europe,塞尔维亚,Republic of Serbia,塞尔维亚,Republic of Serbia,965013,741,0,0,13,2020-03-29 23:19:21,,,,,,,
南美洲,South America,阿根廷,Argentina,阿根廷,Argentina,973001,745,0,1,19,2020-03-29 23:19:21,,,,,,,
南美洲,South America,秘鲁,Peru,秘鲁,Peru,973008,671,0,14,16,2020-03-29 23:19:21,,,,,,,
非洲,Africa,摩洛哥,Morocco,摩洛哥,Morocco,981004,437,0,12,26,2020-03-29 23:19:21,,,,,,,
亚洲,Asia,黎巴嫩,Lebanon,黎巴嫩,Lebanon,955012,438,0,30,10,2020-03-29 23:19:21,,,,,,,
欧洲,Europe,波黑,Bosnia and Herzegovina,波黑,Bosnia and Herzegovina,965003,233,0,5,4,2020-03-29 23:19:21,,,,,,,
欧洲,Europe,阿尔巴尼亚,Albania,阿尔巴尼亚,Albania,965001,197,0,10,10,2020-03-29 23:19:21,,,,,,,
非洲,Africa,布基纳法索,Burkina Faso,布基纳法索,Burkina Faso,982002,207,0,21,11,2020-03-29 23:19:21,,,,,,,
其他,Others,钻石公主号邮轮,Diamond Princess Cruise Ship,钻石公主号邮轮,Diamond Princess Cruise Ship,0,712,0,574,10,2020-03-29 23:19:21,,,,,,,
亚洲,Asia,阿富汗,Afghanistan,阿富汗,Afghanistan,955001,117,0,0,2,2020-03-29 23:19:21,,,,,,,
亚洲,Asia,叙利亚,Syria,叙利亚,Syria,955017,6,0,0,1,2020-03-29 23:19:21,,,,,,,
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,境外输入,,0,46,0,36,0
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,兰州,Lanzhou,620100,37,0,34,2
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,天水,Tianshui,620500,12,0,12,0
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,平凉,Pingliang,620800,9,0,9,0
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,定西,Dingxi,621100,9,0,9,0
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,甘南,Gannan,623000,8,0,8,0
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,白银,Baiyin,620400,4,0,4,0
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,陇南,Longnan,621200,4,0,4,0
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,庆阳,Qingyang,621000,3,0,3,0
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,临夏,Linxia,622900,3,0,3,0
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,张掖,Zhangye,620700,2,0,2,0
亚洲,Asia,中国,China,甘肃省,Gansu,620000,138,0,125,2,2020-03-29 22:25:46,金昌,Jinchang,620300,1,0,1,0
亚洲,Asia,中国,China,中国,China,951001,82421,0,75606,3306,2020-03-29 22:25:46,,,,,,,
亚洲,Asia,塞浦路斯,Cyprus,塞浦路斯,Cyprus,955005,179,0,0,5,2020-03-29 22:25:46,,,,,,,
亚洲,Asia,越南,Vietnam,越南,Vietnam,952011,188,0,25,0,2020-03-29 22:25:46,,,,,,,
亚洲,Asia,阿塞拜疆,Azerbaijan,阿塞拜疆,Azerbaijan,955003,182,0,15,4,2020-03-29 22:25:46,,,,,,,
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,武汉,Wuhan,420100,50006,0,45423,2543
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,鄂州,Ezhou,420700,1394,0,1332,59
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,孝感,Xiaogan,420900,3518,0,3389,128
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,襄阳,Xiangyang,420600,1175,0,1135,39
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,宜昌,Yichang,420500,931,0,894,36
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,荆门,Jingmen,420800,928,0,887,40
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,仙桃,Xiantao,429004,575,0,552,22
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,潜江,Qianjiang,429005,198,0,188,9
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,黄冈,Huanggang,421100,2907,0,2782,125
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,荆州,Jingzhou,421000,1580,0,1528,52
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,随州,Suizhou,421300,1307,0,1262,45
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,黄石,Huangshi,420200,1015,0,976,39
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,咸宁,Xianning,421200,836,0,821,15
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,十堰,Shiyan,420300,672,0,664,8
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,天门,Tianmen,429006,496,0,481,15
亚洲,Asia,中国,China,湖北省,Hubei,420000,67801,0,62570,3182,2020-03-29 22:07:35,恩施州,Enshi Tujia and Miao Autonomous Prefecture,422800,252,0,245,7
